id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
952367,1540825200,DACH,dach-coin,0.032636,0.039242,0.032636,0.033368,3057.0,135040.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952368,1540738800,DACH,dach-coin,0.034186,0.035814,0.031584,0.032716,1798.0,128860.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952369,1540652400,DACH,dach-coin,0.033998,0.034562,0.032501,0.032907,767.0,126788.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952370,1540566000,DACH,dach-coin,0.032079,0.035332,0.031244,0.032509,4328.0,122522.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952371,1540479600,DACH,dach-coin,0.032812,0.033644,0.030842,0.032079,1165.0,117371.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952372,1540393200,DACH,dach-coin,0.034671,0.061004,0.030565,0.032878,1786.0,117492.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952373,1540306800,DACH,dach-coin,0.028977,0.035675,0.028977,0.034656,2436.0,120399.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952374,1540220400,DACH,dach-coin,0.027228,0.032445,0.026398,0.029109,2221.0,97828.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952375,1540134000,DACH,dach-coin,0.029168,0.032486,0.024697,0.02723,2987.0,89175.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952376,1540047600,DACH,dach-coin,0.036166,0.036166,0.02678,0.029183,1845.0,93086.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952377,1539961200,DACH,dach-coin,0.034148,0.041418,0.025742,0.036171,2988.0,112280.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952378,1539874800,DACH,dach-coin,0.029144,0.128844,0.025841,0.034146,3680.0,100666.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952379,1539788400,DACH,dach-coin,0.027244,0.034794,0.020691,0.029149,3362.0,81220.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952380,1539702000,DACH,dach-coin,0.024271,0.031072,0.013737,0.027137,1430.0,73304.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952381,1539615600,DACH,dach-coin,0.039563,0.041121,0.024171,0.024188,1645.0,63275.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952382,1539529200,DACH,dach-coin,0.02507,0.039919,0.022306,0.039599,2771.0,99826.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952383,1539442800,DACH,dach-coin,0.024929,0.028671,0.022639,0.025043,1529.0,60232.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952384,1539356400,DACH,dach-coin,0.024957,0.02509,0.020634,0.024923,726.0,57074.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952385,1539270000,DACH,dach-coin,0.018014,0.024957,0.017981,0.024957,2451.0,55038.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952386,1539183600,DACH,dach-coin,0.014819,0.02518,0.014085,0.018037,704.0,26948.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952387,1539097200,DACH,dach-coin,0.014535,0.019903,0.011978,0.014869,605.0,22214.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952388,1539010800,DACH,dach-coin,0.01064,0.015888,0.010583,0.014592,637.0,21801.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952389,1538924400,DACH,dach-coin,0.007772,0.026372,0.007746,0.010603,611.0,15841.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952390,1538838000,DACH,dach-coin,0.013037,0.013037,0.006714,0.007737,232.0,11559.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952391,1538751600,DACH,dach-coin,0.023517,0.029164,0.007379,0.012989,229.0,19405.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952392,1538665200,DACH,dach-coin,0.021275,0.025699,0.01326,0.023465,314.0,35056.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952393,1538578800,DACH,dach-coin,0.022811,0.02586,0.013194,0.02122,793.0,31703.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952394,1538492400,DACH,dach-coin,0.032301,0.032369,0.022554,0.022784,654.0,34039.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952395,1538406000,DACH,dach-coin,0.042076,0.042227,0.026126,0.032285,940.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952396,1538319600,DACH,dach-coin,0.052797,0.056912,0.024607,0.042196,4126.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952397,1538233200,DACH,dach-coin,0.05773,0.05773,0.02267,0.052956,2138.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952398,1538146800,DACH,dach-coin,0.068625,0.068625,0.037981,0.057751,1791.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952399,1538060400,DACH,dach-coin,0.086607,0.088465,0.048599,0.068669,3503.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952400,1537974000,DACH,dach-coin,0.087394,0.087798,0.065279,0.086588,2830.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
952401,1537887600,DACH,dach-coin,0.116941,0.117934,0.064825,0.087288,4948.0,0.0,2018-12-15 12:08:42 UTC,2018-12-15 12:08:42 UTC
